STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,18,SNOW DP,,20190126,54,,INCHES
DAN,D,18,SNOW DP,,20190127,51,,INCHES
DAN,D,18,SNOW DP,,20190128,51,,INCHES
DAN,D,18,SNOW DP,,20190129,50,,INCHES
DAN,D,18,SNOW DP,,20190130,50,,INCHES
DAN,D,18,SNOW DP,,20190131,49,,INCHES
DAN,D,18,SNOW DP,,20190201,48,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190205,111,,INCHES
DAN,D,18,SNOW DP,,20190206,103,,INCHES
DAN,D,18,SNOW DP,,20190207,98,,INCHES
DAN,D,18,SNOW DP,,20190208,94,,INCHES
DAN,D,18,SNOW DP,,20190209,97,,INCHES
DAN,D,18,SNOW DP,,20190210,95,,INCHES
DAN,D,18,SNOW DP,,20190211,100,,INCHES
DAN,D,18,SNOW DP,,20190212,95,,INCHES
DAN,D,18,SNOW DP,,20190213,96,,INCHES
DAN,D,18,SNOW DP,,20190214,100,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190217,110,,INCHES
DAN,D,18,SNOW DP,,20190218,107,,INCHES
DAN,D,18,SNOW DP,,20190219,103,,INCHES
DAN,D,18,SNOW DP,,20190220,101,,INCHES
DAN,D,18,SNOW DP,,20190221,101,,INCHES
DAN,D,18,SNOW DP,,20190222,99,,INCHES
DAN,D,18,SNOW DP,,20190223,98,,INCHES
DAN,D,18,SNOW DP,,20190224,94,,INCHES
DAN,D,18,SNOW DP,,20190225,93,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190227,99,,INCHES
DAN,D,18,SNOW DP,,20190228,97,,INCHES
DAN,D,18,SNOW DP,,20190301,95,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190303,108,,INCHES
DAN,D,18,SNOW DP,,20190304,104,,INCHES
DAN,D,18,SNOW DP,,20190305,102,,INCHES
DAN,D,18,SNOW DP,,20190306,106,,INCHES
DAN,D,18,SNOW DP,,20190307,116,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190309,112,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190312,107,,INCHES
DAN,D,18,SNOW DP,,20190313,106,,INCHES
DAN,D,18,SNOW DP,,20190314,105,,INCHES
DAN,D,18,SNOW DP,,20190315,104,,INCHES
DAN,D,18,SNOW DP,,20190316,102,,INCHES
DAN,D,18,SNOW DP,,20190317,100,,INCHES
DAN,D,18,SNOW DP,,20190318,98,,INCHES
