x,y,h_mean
714445.3538,5352795.621,664.1963746
714442.6651,5352815.478,658.9091445
714439.9261,5352835.327,656.5273861
714434.3665,5352875.015,657.6505874
714431.5873,5352894.859,658.611112
714428.7925,5352914.7,661.3475201
714425.9868,5352934.541,665.4252198
714423.1839,5352954.381,670.1781107
714832.6146,5350562.984,637.6730191
714420.3958,5352974.224,674.9852171
714829.7211,5350582.812,648.7382712
714417.6289,5352994.07,678.9661959
714826.8112,5350602.638,661.0869642
714414.8712,5353013.917,682.715369
714823.9583,5350622.473,669.477155
714412.1085,5353033.763,687.1084411
714409.3144,5353053.605,693.9019602
714406.5271,5353073.448,700.1504705
714403.7648,5353093.294,704.3649005
714400.98,5353113.137,709.7723924
714398.1338,5353132.972,719.1117012
714395.2787,5353152.806,728.6794979
714392.4247,5353172.64,737.7835523
714389.5641,5353192.474,746.8466416
714386.7147,5353212.308,754.7634976
714383.8957,5353232.147,760.095196
714381.0903,5353251.987,764.1359927
714378.3039,5353271.83,766.6282436
714375.4974,5353291.67,770.4812241
714372.6451,5353311.505,777.6724225
714361.6458,5353390.896,778.8156586
714770.5405,5350999.427,761.7733465
714358.9124,5353410.746,778.860766
714767.7066,5351019.264,767.6703752
714356.183,5353430.596,779.0014743
714764.8792,5351039.102,773.793401
714353.4426,5353450.445,780.7225295
714350.6356,5353470.286,787.9214199
714759.2775,5351078.784,784.8325253
714347.7712,5353490.119,799.8146955
714756.4407,5351098.621,794.4036715
714344.8857,5353509.948,813.9645361
714342.0081,5353529.779,828.2517144
714750.8665,5351138.306,809.4200297
714339.1399,5353549.611,842.3463799
714748.0965,5351158.151,816.8189195
714336.3082,5353569.448,853.8194994
714333.5013,5353589.288,863.4028048
714330.6619,5353609.125,874.9950549
714328.1556,5353626.509,886.1313466
714736.9663,5351237.525,849.5690153
714734.1753,5351257.368,856.9989277
714322.1693,5353668.636,904.4302009
714731.393,5351277.212,862.7945243
714319.356,5353688.475,911.5075242
714728.6197,5351297.056,867.001609
714316.5131,5353708.31,920.3102058
714725.8313,5351316.899,871.7149026
714313.6632,5353728.145,929.4377147
714723.0053,5351336.737,878.6586263
714310.8425,5353747.984,936.3652035
714308.0658,5353767.829,940.0557605
714302.5947,5353807.528,942.5134586
714299.8438,5353827.376,945.4655557
714247.4188,5354204.46,1016.098646
714244.6055,5354224.3,1024.047429
714241.7909,5354244.139,1031.549112
714238.9512,5354263.975,1041.160123
714236.106,5354283.81,1051.705406
714648.1057,5351912.965,643.7274971
714233.3104,5354303.652,1059.437365
714645.3355,5351932.81,648.7573629
714230.5454,5354323.498,1065.705428
714642.5771,5351952.657,653.1613678
714227.7976,5354343.346,1071.421048
714639.7885,5351972.499,660.5509548
714225.1186,5354362.821,1078.024977
714222.3896,5354382.802,1084.384197
714634.2595,5352012.192,673.7889725
714219.6661,5354402.905,1089.641761
714631.5289,5352032.042,678.7363172
714216.9952,5354422.763,1093.60299
714628.8001,5352051.893,683.7741501
714626.0752,5352071.744,688.9087263
714620.6276,5352111.446,699.4665165
714206.3556,5354502.201,1102.198401
714617.891,5352131.296,705.7142681
714203.6568,5354522.057,1104.648024
714200.9551,5354541.911,1106.786392
714198.2583,5354561.765,1108.079619
714195.5596,5354581.62,1109.188805
714192.8561,5354601.474,1110.506607
714190.1465,5354621.327,1112.312794
