STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TUM,D,18,SNOW DP,,20190119,53,,INCHES
TUM,D,18,SNOW DP,,20190120,51,,INCHES
TUM,D,18,SNOW DP,,20190121,118,,INCHES
TUM,D,18,SNOW DP,,20190122,58,,INCHES
TUM,D,18,SNOW DP,,20190123,55,,INCHES
TUM,D,18,SNOW DP,,20190124,54,,INCHES
TUM,D,18,SNOW DP,,20190125,53,,INCHES
TUM,D,18,SNOW DP,,20190126,53,,INCHES
TUM,D,18,SNOW DP,,20190127,50,,INCHES
TUM,D,18,SNOW DP,,20190128,49,,INCHES
TUM,D,18,SNOW DP,,20190129,48,,INCHES
TUM,D,18,SNOW DP,,20190130,47,,INCHES
TUM,D,18,SNOW DP,,20190131,47,,INCHES
TUM,D,18,SNOW DP,,20190201,45,,INCHES
TUM,D,18,SNOW DP,,20190202,52,,INCHES
TUM,D,18,SNOW DP,,20190203,118,,INCHES
TUM,D,18,SNOW DP,,,,,INCHES
TUM,D,18,SNOW DP,,20190205,118,,INCHES
TUM,D,18,SNOW DP,,20190206,103,,INCHES
TUM,D,18,SNOW DP,,20190207,96,,INCHES
TUM,D,18,SNOW DP,,20190208,91,,INCHES
TUM,D,18,SNOW DP,,20190209,96,,INCHES
TUM,D,18,SNOW DP,,20190210,100,,INCHES
TUM,D,18,SNOW DP,,20190211,101,,INCHES
TUM,D,18,SNOW DP,,,,,INCHES
TUM,D,18,SNOW DP,,20190213,95,,INCHES
TUM,D,18,SNOW DP,,20190214,95,,INCHES
TUM,D,18,SNOW DP,,20190215,99,,INCHES
TUM,D,18,SNOW DP,,20190216,118,,INCHES
TUM,D,18,SNOW DP,,20190217,102,,INCHES
TUM,D,18,SNOW DP,,20190218,118,,INCHES
TUM,D,18,SNOW DP,,20190219,118,,INCHES
TUM,D,18,SNOW DP,,20190220,95,,INCHES
TUM,D,18,SNOW DP,,20190221,97,,INCHES
TUM,D,18,SNOW DP,,20190222,94,,INCHES
TUM,D,18,SNOW DP,,20190223,93,,INCHES
TUM,D,18,SNOW DP,,20190224,91,,INCHES
TUM,D,18,SNOW DP,,20190225,89,,INCHES
TUM,D,18,SNOW DP,,20190226,90,,INCHES
TUM,D,18,SNOW DP,,20190227,92,,INCHES
TUM,D,18,SNOW DP,,20190228,89,,INCHES
TUM,D,18,SNOW DP,,20190301,88,,INCHES
TUM,D,18,SNOW DP,,20190302,91,,INCHES
TUM,D,18,SNOW DP,,20190303,98,,INCHES
TUM,D,18,SNOW DP,,20190304,94,,INCHES
TUM,D,18,SNOW DP,,20190305,93,,INCHES
TUM,D,18,SNOW DP,,20190306,98,,INCHES
TUM,D,18,SNOW DP,,20190307,102,,INCHES
TUM,D,18,SNOW DP,,20190308,118,,INCHES
TUM,D,18,SNOW DP,,20190309,100,,INCHES
TUM,D,18,SNOW DP,,20190310,100,,INCHES
TUM,D,18,SNOW DP,,20190311,99,,INCHES
TUM,D,18,SNOW DP,,20190312,98,,INCHES
TUM,D,18,SNOW DP,,20190313,97,,INCHES
TUM,D,18,SNOW DP,,20190314,96,,INCHES
TUM,D,18,SNOW DP,,20190315,95,,INCHES
TUM,D,18,SNOW DP,,20190316,94,,INCHES
TUM,D,18,SNOW DP,,20190317,92,,INCHES
TUM,D,18,SNOW DP,,20190318,90,,INCHES
TUM,D,18,SNOW DP,,20190319,89,,INCHES
TUM,D,18,SNOW DP,,20190320,93,,INCHES
TUM,D,18,SNOW DP,,20190321,90,,INCHES
TUM,D,18,SNOW DP,,20190322,89,,INCHES
TUM,D,18,SNOW DP,,20190323,88,,INCHES
TUM,D,18,SNOW DP,,20190324,90,,INCHES
TUM,D,18,SNOW DP,,20190325,88,,INCHES
TUM,D,18,SNOW DP,,20190326,87,,INCHES
TUM,D,18,SNOW DP,,20190327,85,,INCHES
TUM,D,18,SNOW DP,,20190328,96,,INCHES
TUM,D,18,SNOW DP,,20190329,92,,INCHES
TUM,D,18,SNOW DP,,20190330,90,,INCHES
TUM,D,18,SNOW DP,,20190331,90,,INCHES
TUM,D,18,SNOW DP,,20190401,87,,INCHES
TUM,D,18,SNOW DP,,20190402,88,,INCHES
TUM,D,18,SNOW DP,,20190403,88,,INCHES
TUM,D,18,SNOW DP,,20190404,86,,INCHES
TUM,D,18,SNOW DP,,20190405,85,,INCHES
TUM,D,18,SNOW DP,,20190406,85,,INCHES
TUM,D,18,SNOW DP,,20190407,84,,INCHES
TUM,D,18,SNOW DP,,20190408,82,,INCHES
TUM,D,18,SNOW DP,,20190409,80,,INCHES
TUM,D,18,SNOW DP,,20190410,80,,INCHES
TUM,D,18,SNOW DP,,20190411,79,,INCHES
TUM,D,18,SNOW DP,,20190412,79,,INCHES
TUM,D,18,SNOW DP,,20190413,77,,INCHES
TUM,D,18,SNOW DP,,20190414,75,,INCHES
TUM,D,18,SNOW DP,,20190415,74,,INCHES
TUM,D,18,SNOW DP,,20190416,77,,INCHES
TUM,D,18,SNOW DP,,20190417,74,,INCHES
TUM,D,18,SNOW DP,,20190418,71,,INCHES
TUM,D,18,SNOW DP,,20190419,69,,INCHES
